Window0-Att0,Window0-Att1,Window0-Att2,Window0-Att3,Window0-Att4,Window0-Att5,Window1-Att0,Window1-Att1,Window1-Att2,Window1-Att3,Window1-Att4,Window1-Att5,Window2-Att0,Window2-Att1,Window2-Att2,Window2-Att3,Window2-Att4,Window2-Att5,Window3-Att0,Window3-Att1,Window3-Att2,Window3-Att3,Window3-Att4,Window3-Att5,Window4-Att0,Window4-Att1,Window4-Att2,Window4-Att3,Window4-Att4,Window4-Att5,target,target_2,target_3,target_4,target_5,target_6
23.47,6.71,45.0,29.3,124.8,8.54,23.54,6.69,45.0,29.7,112.8,7.76,24.59,6.69,45.0,29.8,109.7,7.54,23.99,6.68,46.0,30.1,95.6,6.48,23.665,6.67,47.0,30.7,91.3,6.25,0.15287,0.14827,0.15322,0.15377,0.16561,0.15871
23.55,6.63,49.6,32.5,80.1,5.4,23.63,6.62,49.8,32.7,81.4,5.47,23.54,6.62,49.7,32.6,76.9,5.16,23.73,6.62,49.7,32.6,95.7,6.42,24.17,6.61,49.8,32.7,99.85,6.64,0.13406,0.14771,0.14936,0.14928,0.14069,0.14363
23.94,6.67,47.2,30.8,80.1,5.435,22.63,6.625,50.1,32.9,81.45,5.66,23.55,6.63,49.6,32.5,80.1,5.4,23.63,6.62,49.8,32.7,81.4,5.47,23.54,6.62,49.7,32.6,76.9,5.16,0.1282,0.14726,0.15676,0.15777,0.13645,0.13782
21.35,6.6,46.0,29.9,84.3,5.98,21.535,6.59,44.65,28.85,86.9,6.225,21.985,6.58,44.15,28.5,92.65,6.63,22.7,6.6,42.3,27.2,98.7,7.0,23.58,6.605,42.7,27.5,87.5,6.125,0.17403,0.14804,0.1264,0.12381,0.07857,0.07317
22.7,6.6,42.3,27.2,98.7,7.0,23.58,6.605,42.7,27.5,87.5,6.125,23.685,6.6,42.7,27.5,85.5,5.945,23.7,6.6,42.45,27.3,84.35,5.845,25.69,6.61,41.8,26.9,78.0,5.29,0.1739,0.1476,0.12778,0.12546,0.0719,0.06786
13.34,5.13,46.0,30.1,42.6,3.55,13.63,5.11,48.0,31.3,46.0,3.79,14.27,5.12,47.0,31.1,46.7,3.79,14.19,5.15,45.0,29.7,45.1,3.75,14.75,5.15,45.0,29.7,51.6,4.23,0.11138,0.1149,0.14489,0.14433,0.08324,0.09171
17.29,5.13,47.0,30.6,48.1,3.71,18.02,5.15,46.0,29.9,75.3,5.59,18.73,5.15,46.0,30.3,72.5,5.31,19.57,5.14,47.0,30.8,61.9,4.54,20.96,6.65,48.0,31.5,119.2,8.27,0.14682,0.1504,0.13565,0.13631,0.22583,0.22595
24.59,6.69,45.0,29.8,109.7,7.54,23.99,6.68,46.0,30.1,95.6,6.48,23.665,6.67,47.0,30.7,91.3,6.25,23.94,6.67,47.2,30.8,80.1,5.435,22.63,6.625,50.1,32.9,81.45,5.66,0.15078,0.14804,0.15399,0.15471,0.15151,0.14622
19.9,6.575,50.85,33.45,78.85,5.575,20.83,6.58,49.55,32.5,80.9,5.75,20.81,6.595,48.45,31.65,81.3,5.81,20.94,6.6,47.35,30.85,82.7,5.9,21.35,6.6,46.0,29.9,84.3,5.98,0.15268,0.14782,0.13087,0.12877,0.14597,0.14449
22.63,6.625,50.1,32.9,81.45,5.66,23.55,6.63,49.6,32.5,80.1,5.4,23.63,6.62,49.8,32.7,81.4,5.47,23.54,6.62,49.7,32.6,76.9,5.16,23.73,6.62,49.7,32.6,95.7,6.42,0.13419,0.14737,0.15276,0.15329,0.14,0.14214
23.54,6.62,49.7,32.6,76.9,5.16,23.73,6.62,49.7,32.6,95.7,6.42,24.17,6.61,49.8,32.7,99.85,6.64,23.405,6.61,49.95,32.8,87.55,5.915,20.9,6.58,50.7,33.35,70.85,4.975,0.13754,0.14782,0.14181,0.14103,0.14588,0.14783
14.85,5.11,47.0,31.2,46.8,3.78,14.72,5.1,48.0,31.7,42.7,3.4,15.28,5.11,48.0,32.0,42.5,3.38,16.15,5.13,47.0,30.8,42.1,3.27,17.29,5.13,47.0,30.6,48.1,3.71,0.13335,0.14916,0.15106,0.15424,0.14225,0.14462
21.79,6.71,44.0,28.9,109.0,7.79,22.24,6.71,45.0,29.3,94.9,6.74,22.79,6.715,44.0,28.9,130.5,9.14,23.47,6.71,45.0,29.3,124.8,8.54,23.54,6.69,45.0,29.7,112.8,7.76,0.15171,0.14849,0.15291,0.15329,0.13862,0.13349
20.96,6.65,48.0,31.5,119.2,8.27,20.17,6.65,49.0,32.2,88.1,6.54,20.7,6.66,49.0,32.7,82.2,5.85,21.66,6.68,47.0,30.7,94.8,6.63,21.79,6.71,44.0,28.9,109.0,7.79,0.15455,0.14961,0.14181,0.14197,0.16544,0.16019
11.84,5.08,49.0,32.2,16.5,1.4,12.01,5.09,48.0,32.0,14.8,1.25,12.89,5.1,48.0,31.9,8.6,0.71,13.95,5.11,47.0,30.8,20.2,1.64,13.75,5.13,45.0,29.7,38.5,3.27,0.09773,0.11512,0.14181,0.14339,0.08099,0.09246
22.24,6.71,45.0,29.3,94.9,6.74,22.79,6.715,44.0,28.9,130.5,9.14,23.47,6.71,45.0,29.3,124.8,8.54,23.54,6.69,45.0,29.7,112.8,7.76,24.59,6.69,45.0,29.8,109.7,7.54,0.15223,0.14827,0.15353,0.15424,0.14087,0.13522
20.7,6.66,49.0,32.7,82.2,5.85,21.66,6.68,47.0,30.7,94.8,6.63,21.79,6.71,44.0,28.9,109.0,7.79,22.24,6.71,45.0,29.3,94.9,6.74,22.79,6.715,44.0,28.9,130.5,9.14,0.15422,0.14939,0.14551,0.14528,0.13862,0.13436
20.94,6.6,47.35,30.85,82.7,5.9,21.35,6.6,46.0,29.9,84.3,5.98,21.535,6.59,44.65,28.85,86.9,6.225,21.985,6.58,44.15,28.5,92.65,6.63,22.7,6.6,42.3,27.2,98.7,7.0,0.16978,0.1476,0.12671,0.12429,0.11006,0.10618
14.75,5.15,45.0,29.7,51.6,4.23,15.17,5.14,46.0,30.4,46.8,3.74,14.85,5.11,47.0,31.2,46.8,3.78,14.72,5.1,48.0,31.7,42.7,3.4,15.28,5.11,48.0,32.0,42.5,3.38,0.13503,0.14894,0.14798,0.14858,0.20628,0.20444
16.15,5.13,47.0,30.8,42.1,3.27,17.29,5.13,47.0,30.6,48.1,3.71,18.02,5.15,46.0,29.9,75.3,5.59,18.73,5.15,46.0,30.3,72.5,5.31,19.57,5.14,47.0,30.8,61.9,4.54,0.14327,0.15028,0.13873,0.1382,0.16423,0.16662
13.63,5.11,48.0,31.3,46.0,3.79,14.27,5.12,47.0,31.1,46.7,3.79,14.19,5.15,45.0,29.7,45.1,3.75,14.75,5.15,45.0,29.7,51.6,4.23,15.17,5.14,46.0,30.4,46.8,3.74,0.11609,0.11534,0.14181,0.14103,0.13031,0.13819
18.73,5.15,46.0,30.3,72.5,5.31,19.57,5.14,47.0,30.8,61.9,4.54,20.96,6.65,48.0,31.5,119.2,8.27,20.17,6.65,49.0,32.2,88.1,6.54,20.7,6.66,49.0,32.7,82.2,5.85,0.15165,0.14984,0.13873,0.14009,0.1952,0.19183
14.19,5.15,45.0,29.7,45.1,3.75,14.75,5.15,45.0,29.7,51.6,4.23,15.17,5.14,46.0,30.4,46.8,3.74,14.85,5.11,47.0,31.2,46.8,3.78,14.72,5.1,48.0,31.7,42.7,3.4,0.12607,0.11512,0.14489,0.14528,0.10712,0.11223
14.72,5.1,48.0,31.7,42.7,3.4,15.28,5.11,48.0,32.0,42.5,3.38,16.15,5.13,47.0,30.8,42.1,3.27,17.29,5.13,47.0,30.6,48.1,3.71,18.02,5.15,46.0,29.9,75.3,5.59,0.13954,0.14961,0.14489,0.1448,0.16405,0.1639
20.83,6.58,49.55,32.5,80.9,5.75,20.81,6.595,48.45,31.65,81.3,5.81,20.94,6.6,47.35,30.85,82.7,5.9,21.35,6.6,46.0,29.9,84.3,5.98,21.535,6.59,44.65,28.85,86.9,6.225,0.1655,0.14804,0.12886,0.12688,0.13498,0.13077
15.17,5.14,46.0,30.4,46.8,3.74,14.85,5.11,47.0,31.2,46.8,3.78,14.72,5.1,48.0,31.7,42.7,3.4,15.28,5.11,48.0,32.0,42.5,3.38,16.15,5.13,47.0,30.8,42.1,3.27,0.12994,0.14894,0.15106,0.15188,0.15246,0.16167
23.665,6.67,47.0,30.7,91.3,6.25,23.94,6.67,47.2,30.8,80.1,5.435,22.63,6.625,50.1,32.9,81.45,5.66,23.55,6.63,49.6,32.5,80.1,5.4,23.63,6.62,49.8,32.7,81.4,5.47,0.12056,0.1467,0.16216,0.16367,0.11733,0.122
13.75,5.13,45.0,29.7,38.5,3.27,13.34,5.13,46.0,30.1,42.6,3.55,13.63,5.11,48.0,31.3,46.0,3.79,14.27,5.12,47.0,31.1,46.7,3.79,14.19,5.15,45.0,29.7,45.1,3.75,0.10404,0.1149,0.14489,0.14528,0.07286,0.08084
18.715,6.55,52.6,34.7,67.8,4.935,19.9,6.575,50.85,33.45,78.85,5.575,20.83,6.58,49.55,32.5,80.9,5.75,20.81,6.595,48.45,31.65,81.3,5.81,20.94,6.6,47.35,30.85,82.7,5.9,0.15258,0.14782,0.13164,0.12971,0.14796,0.14697
21.985,6.58,44.15,28.5,92.65,6.63,22.7,6.6,42.3,27.2,98.7,7.0,23.58,6.605,42.7,27.5,87.5,6.125,23.685,6.6,42.7,27.5,85.5,5.945,23.7,6.6,42.45,27.3,84.35,5.845,0.1711,0.1476,0.12794,0.1257,0.07632,0.07194
14.27,5.12,47.0,31.1,46.7,3.79,14.19,5.15,45.0,29.7,45.1,3.75,14.75,5.15,45.0,29.7,51.6,4.23,15.17,5.14,46.0,30.4,46.8,3.74,14.85,5.11,47.0,31.2,46.8,3.78,0.12066,0.11534,0.14181,0.14292,0.12546,0.13127
24.17,6.61,49.8,32.7,99.85,6.64,23.405,6.61,49.95,32.8,87.55,5.915,20.9,6.58,50.7,33.35,70.85,4.975,18.715,6.55,52.6,34.7,67.8,4.935,19.9,6.575,50.85,33.45,78.85,5.575,0.14163,0.14737,0.13611,0.13443,0.16033,0.1639
23.405,6.61,49.95,32.8,87.55,5.915,20.9,6.58,50.7,33.35,70.85,4.975,18.715,6.55,52.6,34.7,67.8,4.935,19.9,6.575,50.85,33.45,78.85,5.575,20.83,6.58,49.55,32.5,80.9,5.75,0.14624,0.14782,0.1304,0.12829,0.1708,0.17305
13.95,5.11,47.0,30.8,20.2,1.64,13.75,5.13,45.0,29.7,38.5,3.27,13.34,5.13,46.0,30.1,42.6,3.55,13.63,5.11,48.0,31.3,46.0,3.79,14.27,5.12,47.0,31.1,46.7,3.79,0.09844,0.11445,0.14798,0.15094,0.07355,0.08356
